x,y,z
8.073168396949768066e-01,-6.304373499006032944e-03,1.968636703491210938e+01
8.075122237205505371e-01,-6.302052643150091171e-03,1.968622207641601562e+01
8.077075481414794922e-01,-6.299731787294149399e-03,1.968607521057128906e+01
8.079028725624084473e-01,-6.297410465776920319e-03,1.968592834472656250e+01
8.080982565879821777e-01,-6.295088678598403931e-03,1.968578147888183594e+01
8.082936406135559082e-01,-6.292766891419887543e-03,1.968563461303710938e+01
8.084889650344848633e-01,-6.290444638580083847e-03,1.968548774719238281e+01
8.086843490600585938e-01,-6.288122385740280151e-03,1.968534088134765625e+01
8.088797330856323242e-01,-6.285799201577901840e-03,1.968519401550292969e+01
8.090751171112060547e-01,-6.283476483076810837e-03,1.968504714965820312e+01
8.092705011367797852e-01,-6.281152833253145218e-03,1.968490028381347656e+01
8.094658851623535156e-01,-6.278829649090766907e-03,1.968475341796875000e+01
8.096612691879272461e-01,-6.276505533605813980e-03,1.968460655212402344e+01
8.098566532135009766e-01,-6.274181418120861053e-03,1.968445968627929688e+01
8.100520372390747070e-01,-6.271856836974620819e-03,1.968431091308593750e+01
8.102474212646484375e-01,-6.269532255828380585e-03,1.968416404724121094e+01
8.104428052902221680e-01,-6.267207209020853043e-03,1.968401718139648438e+01
8.106382489204406738e-01,-6.264882162213325500e-03,1.968387031555175781e+01
8.108336329460144043e-01,-6.262556184083223343e-03,1.968372344970703125e+01
8.110290169715881348e-01,-6.260230671614408493e-03,1.968357658386230469e+01
8.112244606018066406e-01,-6.257904227823019028e-03,1.968342971801757812e+01
8.114198446273803711e-01,-6.255577784031629562e-03,1.968328094482421875e+01
8.116152882575988770e-01,-6.253251340240240097e-03,1.968313407897949219e+01
8.118107318878173828e-01,-6.250924430787563324e-03,1.968298721313476562e+01
8.120061159133911133e-01,-6.248597055673599243e-03,1.968284034729003906e+01
8.122015595436096191e-01,-6.246269680559635162e-03,1.968269348144531250e+01
8.123970031738281250e-01,-6.243941839784383774e-03,1.968254470825195312e+01
8.125924468040466309e-01,-6.241613533347845078e-03,1.968239784240722656e+01
8.127878308296203613e-01,-6.239285226911306381e-03,1.968225097656250000e+01
8.129832744598388672e-01,-6.236956454813480377e-03,1.968210220336914062e+01
8.131787180900573730e-01,-6.234627682715654373e-03,1.968195533752441406e+01
8.133742213249206543e-01,-6.232298444956541061e-03,1.968180847167968750e+01
8.135696649551391602e-01,-6.229968741536140442e-03,1.968165969848632812e+01
8.137651085853576660e-01,-6.227639038115739822e-03,1.968151283264160156e+01
8.139605522155761719e-01,-6.225309334695339203e-03,1.968136596679687500e+01
8.141559958457946777e-01,-6.222978699952363968e-03,1.968121719360351562e+01
8.143514990806579590e-01,-6.220648065209388733e-03,1.968107032775878906e+01
8.145469427108764648e-01,-6.218317430466413498e-03,1.968092346191406250e+01
8.147424459457397461e-01,-6.215986330062150955e-03,1.968077468872070312e+01
8.149378895759582520e-01,-6.213654763996601105e-03,1.968062782287597656e+01
8.151333928108215332e-01,-6.211322732269763947e-03,1.968047904968261719e+01
8.153288364410400391e-01,-6.208991166204214096e-03,1.968033218383789062e+01
8.155243396759033203e-01,-6.206658668816089630e-03,1.968018341064453125e+01
8.157198429107666016e-01,-6.204326171427965164e-03,1.968003654479980469e+01
8.159153461456298828e-01,-6.201993208378553391e-03,1.967988777160644531e+01
8.161107897758483887e-01,-6.199660245329141617e-03,1.967974090576171875e+01
8.163062930107116699e-01,-6.197326816618442535e-03,1.967959213256835938e+01
8.165017962455749512e-01,-6.194992922246456146e-03,1.967944526672363281e+01
8.166972994804382324e-01,-6.192659027874469757e-03,1.967929649353027344e+01
8.168928027153015137e-01,-6.190324667841196060e-03,1.967914772033691406e+01
8.170883059501647949e-01,-6.187990307807922363e-03,1.967900085449218750e+01
8.172838687896728516e-01,-6.185655482113361359e-03,1.967885208129882812e+01
8.174793720245361328e-01,-6.183320190757513046e-03,1.967870521545410156e+01
8.176748752593994141e-01,-6.180984899401664734e-03,1.967855644226074219e+01
8.178704380989074707e-01,-6.178649142384529114e-03,1.967840766906738281e+01
8.180659413337707520e-01,-6.176313385367393494e-03,1.967826080322265625e+01
8.182614445686340332e-01,-6.173977162688970566e-03,1.967811203002929688e+01
8.184570074081420898e-01,-6.171640474349260330e-03,1.967796325683593750e+01
8.186525106430053711e-01,-6.169303786009550095e-03,1.967781639099121094e+01
8.188480734825134277e-01,-6.166966632008552551e-03,1.967766761779785156e+01
8.190436363220214844e-01,-6.164629478007555008e-03,1.967751884460449219e+01
8.192391991615295410e-01,-6.162291858345270157e-03,1.967737007141113281e+01
8.194347023963928223e-01,-6.159953773021697998e-03,1.967722320556640625e+01
8.196302652359008789e-01,-6.157615687698125839e-03,1.967707443237304688e+01
8.198258280754089355e-01,-6.155277136713266373e-03,1.967692565917968750e+01
8.200213909149169922e-01,-6.152938585728406906e-03,1.967677688598632812e+01
8.202169537544250488e-01,-6.150599569082260132e-03,1.967662811279296875e+01
8.204125165939331055e-01,-6.148260086774826050e-03,1.967648124694824219e+01
8.206080794334411621e-01,-6.145920604467391968e-03,1.967633247375488281e+01
8.208037018775939941e-01,-6.143580656498670578e-03,1.967618370056152344e+01
8.209992647171020508e-01,-6.141240708529949188e-03,1.967603492736816406e+01
8.211948275566101074e-01,-6.138900294899940491e-03,1.967588615417480469e+01
8.213903903961181641e-01,-6.136559415608644485e-03,1.967573738098144531e+01
8.215860128402709961e-01,-6.134218536317348480e-03,1.967558860778808594e+01
8.217815756797790527e-01,-6.131877191364765167e-03,1.967543983459472656e+01
8.219771981239318848e-01,-6.129535846412181854e-03,1.967529106140136719e+01
8.221727609634399414e-01,-6.127194035798311234e-03,1.967514228820800781e+01
8.223683834075927734e-01,-6.124851759523153305e-03,1.967499351501464844e+01
8.225640058517456055e-01,-6.122509483247995377e-03,1.967484474182128906e+01
8.227596282958984375e-01,-6.120166741311550140e-03,1.967469596862792969e+01
8.229551911354064941e-01,-6.117823999375104904e-03,1.967454719543457031e+01
8.231508135795593262e-01,-6.115480791777372360e-03,1.967439842224121094e+01
8.233464360237121582e-01,-6.113137118518352509e-03,1.967424964904785156e+01
8.235420584678649902e-01,-6.110793445259332657e-03,1.967410087585449219e+01
8.237376809120178223e-01,-6.108449306339025497e-03,1.967395210266113281e+01
8.239333033561706543e-01,-6.106104701757431030e-03,1.967380332946777344e+01
8.241289258003234863e-01,-6.103760097175836563e-03,1.967365455627441406e+01
8.243246078491210938e-01,-6.101415492594242096e-03,1.967350578308105469e+01
8.245202302932739258e-01,-6.099069956690073013e-03,1.967335700988769531e+01
8.247158527374267578e-01,-6.096724420785903931e-03,1.967320823669433594e+01
8.249115347862243652e-01,-6.094378884881734848e-03,1.967305755615234375e+01
8.251071572303771973e-01,-6.092032883316278458e-03,1.967290878295898438e+01
8.253027796745300293e-01,-6.089686416089534760e-03,1.967276000976562500e+01
8.254984617233276367e-01,-6.087339948862791061e-03,1.967261123657226562e+01
8.256941437721252441e-01,-6.084993015974760056e-03,1.967246246337890625e+01
8.258897662162780762e-01,-6.082645617425441742e-03,1.967231178283691406e+01
8.260854482650756836e-01,-6.080298218876123428e-03,1.967216300964355469e+01
8.262811303138732910e-01,-6.077950354665517807e-03,1.967201423645019531e+01
8.264768123626708984e-01,-6.075602490454912186e-03,1.967186546325683594e+01
8.266724348068237305e-01,-6.073254160583019257e-03,1.967171478271484375e+01
8.268681168556213379e-01,-6.070905830711126328e-03,1.967156600952148438e+01
8.270637989044189453e-01,-6.068556569516658783e-03,1.967141723632812500e+01
8.272594809532165527e-01,-6.066207773983478546e-03,1.967126655578613281e+01
8.274552226066589355e-01,-6.063858047127723694e-03,1.967111778259277344e+01
8.276509046554565430e-01,-6.061508320271968842e-03,1.967096900939941406e+01
8.278465867042541504e-01,-6.059158593416213989e-03,1.967081832885742188e+01
8.280422687530517578e-01,-6.056808400899171829e-03,1.967066955566406250e+01
8.282380104064941406e-01,-6.054457742720842361e-03,1.967051887512207031e+01
8.284336924552917480e-01,-6.052107084542512894e-03,1.967037010192871094e+01
8.286293745040893555e-01,-6.049755960702896118e-03,1.967022132873535156e+01
8.288251161575317383e-01,-6.047404371201992035e-03,1.967007064819335938e+01
